N,S1,S2,relDifer
42801,11.2417,11.2416,1.2517e-05
42901,11.244,11.2439,8.46386e-06
43001,11.2463,11.2462,5.00679e-06
43101,11.2486,11.2485,2.02656e-06
43201,11.2508,11.2509,5.96046e-07
43301,11.2531,11.2532,2.6226e-06
43401,11.2554,11.2555,4.23193e-06
43501,11.2577,11.2578,5.36442e-06
43601,11.26,11.2601,6.02007e-06
43701,11.2623,11.2624,6.19888e-06
43801,11.2646,11.2646,5.90086e-06
43901,11.2669,11.2669,5.1856e-06
44001,11.2692,11.2692,3.99351e-06
44101,11.2714,11.2715,2.26498e-06
44201,11.2737,11.2737,1.78814e-07
44301,11.276,11.276,2.38419e-06
44401,11.2783,11.2783,5.36442e-06
44501,11.2806,11.2805,8.82149e-06
44601,11.2829,11.2827,1.28746e-05
44701,11.2851,11.285,1.0252e-05
44801,11.2873,11.2872,6.67572e-06
44901,11.2895,11.2895,3.45707e-06
45001,11.2917,11.2917,7.15256e-07
45101,11.2939,11.2939,1.60933e-06
45201,11.2961,11.2961,3.45707e-06
45301,11.2983,11.2983,5.00679e-06
45401,11.3005,11.3005,6.07967e-06
45501,11.3027,11.3027,6.67572e-06
45601,11.3048,11.3049,6.91414e-06
45701,11.307,11.3071,6.67572e-06
45801,11.3092,11.3093,5.96046e-06
45901,11.3114,11.3115,4.94719e-06
46001,11.3136,11.3137,3.45707e-06
46101,11.3158,11.3158,1.49012e-06
46201,11.318,11.318,8.34465e-07
46301,11.3202,11.3202,3.57628e-06
46401,11.3224,11.3223,6.79493e-06
46501,11.3246,11.3245,1.03712e-05
46601,11.3268,11.3266,1.43051e-05
46701,11.3289,11.3288,1.04904e-05
46801,11.331,11.3309,6.91414e-06
46901,11.3331,11.333,3.69549e-06
47001,11.3352,11.3352,8.34465e-07
47101,11.3373,11.3373,1.49012e-06
47201,11.3394,11.3394,3.51667e-06
47301,11.3415,11.3415,5.06639e-06
47401,11.3436,11.3436,6.3777e-06
47501,11.3457,11.3457,7.21216e-06
47601,11.3478,11.3478,7.56979e-06
47701,11.3499,11.3499,7.56979e-06
47801,11.352,11.352,7.33137e-06
47901,11.3541,11.3541,6.55651e-06
48001,11.3562,11.3562,5.36442e-06
48101,11.3583,11.3583,3.8743e-06
48201,11.3604,11.3604,2.02656e-06
48301,11.3624,11.3624,2.38419e-07
48401,11.3645,11.3645,2.86102e-06
48501,11.3666,11.3666,5.84126e-06
48601,11.3687,11.3686,9.17912e-06
48701,11.3708,11.3707,1.29938e-05
